rowdef,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:00am-0:59am,78,5,114,36,282,47,31,8,0,192,97,22,3,86,51,10,27,41,53,10,38,38,61,12,49,85,14,14,19,7,40,31,100,110,17,84,58,29,106,8,77,8,71,356,17,3,49,30,32,48,17,2821
1:00am-1:59am,65,6,79,40,277,55,29,15,2,211,125,6,14,89,40,17,31,29,56,23,67,28,68,13,32,74,18,24,7,1,60,24,98,87,26,90,57,12,109,5,41,1,36,310,8,4,49,47,21,40,11,2677
2:00am-2:59am,50,4,66,23,263,36,41,10,0,277,88,17,3,79,52,19,32,34,116,4,57,27,91,23,27,67,33,20,11,5,47,33,105,122,12,90,68,23,132,6,56,4,59,410,9,3,58,30,24,50,9,2925
3:00am-3:59am,42,1,48,16,182,24,24,6,5,171,67,0,7,95,49,31,18,24,36,2,31,28,70,11,22,48,12,12,19,0,46,19,89,78,7,88,31,32,66,6,46,6,42,274,12,3,38,7,32,35,13,2071
4:00am-4:59am,31,1,45,22,128,19,13,5,0,221,52,5,6,93,50,9,6,33,51,15,17,17,40,13,25,31,12,8,21,5,31,25,68,54,4,51,28,1,43,0,58,3,33,232,6,0,32,21,8,19,4,1715
5:00am-5:59am,62,4,57,29,243,5,9,8,0,159,53,16,14,45,29,24,16,35,47,8,26,18,29,14,23,31,8,16,19,1,30,29,85,60,6,53,46,10,61,5,33,10,38,216,12,3,44,39,11,22,3,1864
6:00am-6:59am,72,0,47,42,228,25,6,4,0,228,105,20,4,91,56,25,23,52,54,10,35,7,48,24,27,48,16,5,32,10,58,23,87,73,14,68,52,8,91,3,75,5,56,354,24,7,39,32,28,38,2,2481
7:00am-7:59am,57,2,62,54,258,40,13,10,0,180,87,5,18,58,120,53,28,59,54,13,39,22,85,22,48,71,47,17,19,3,36,18,93,86,8,52,54,19,89,1,61,11,48,342,21,11,64,21,22,35,12,2648
8:00am-8:59am,47,5,44,16,209,21,10,6,0,172,66,1,20,58,54,18,69,58,41,7,12,13,76,45,22,59,10,4,32,1,50,29,60,71,13,68,76,21,63,0,24,8,40,210,11,3,54,22,14,21,10,2064
9:00am-9:59am,53,0,57,24,197,35,10,11,3,138,88,8,5,67,40,54,31,67,28,9,15,16,69,37,47,76,11,14,19,10,30,40,88,65,8,77,26,24,99,1,61,7,67,216,5,7,47,36,27,58,6,2234
10:00am-10:59am,95,1,46,28,174,65,16,3,5,194,85,9,9,78,77,31,17,78,44,19,34,13,45,20,47,68,20,7,25,10,58,46,69,118,22,80,46,71,95,7,46,11,55,285,31,9,53,39,15,46,31,2596
