id,State,Total Crashes,Population,Sunday.Sales,crashes per capita,crashes per capita * 100000
28,Mississippi,96,2992333,Prohibited,3.2082E-05,3.208199087
1,Alabama,146,4858979,Prohibited,3.00475E-05,3.00474647
30,Montana,31,1032949,Prohibited,3.00112E-05,3.001116222
56,Wyoming,17,586107,Permitted,2.90049E-05,2.900494278
45,South Carolina,141,4896146,Prohibited,2.87982E-05,2.879816084
22,Louisiana,128,4670724,Local,2.74047E-05,2.740474496
40,Oklahoma,97,3911338,Prohibited,2.47997E-05,2.47996977
12,Florida,495,20271272,Local,2.44188E-05,2.441879326
47,Tennessee,155,6600299,Prohibited,2.34838E-05,2.34837846
5,Arkansas,69,2978204,Local,2.31683E-05,2.316832561
21,Kentucky,102,4425092,Local,2.30504E-05,2.305036822
38,North Dakota,17,756927,Local,2.24592E-05,2.245923319
48,Texas,589,27469114,Prohibited,2.14423E-05,2.144226421
29,Missouri,128,6083672,Permitted,2.10399E-05,2.103992457
37,North Carolina,206,10042802,Prohibited,2.05122E-05,2.051220367
13,Georgia,208,10214860,Local,2.03625E-05,2.036249151
31,Nebraska,38,1896190,Local,2.00402E-05,2.004018585
46,South Dakota,17,858469,Local,1.98027E-05,1.980269526
35,New Mexico,41,2085109,Local,1.96632E-05,1.966324063
20,Kansas,56,2911641,Local,1.92331E-05,1.923314035
18,Indiana,122,6619680,Prohibited,1.84299E-05,1.842989389
4,Arizona,123,6828065,Permitted,1.80139E-05,1.801388827
54,West Virginia,30,1844128,Prohibited,1.62679E-05,1.626785126
8,Colorado,88,5456574,Permitted,1.61273E-05,1.612733558
19,Iowa,50,3123899,Permitted,1.60056E-05,1.600563911
16,Idaho,25,1654930,Local,1.51064E-05,1.510637912
2,Alaska,11,738432,Permitted,1.48964E-05,1.489642919
26,Michigan,146,9922576,Local,1.47139E-05,1.471392106
32,Nevada,42,2890845,Local,1.45286E-05,1.452862398
41,Oregon,58,4028977,Permitted,1.43957E-05,1.439571385
6,California,544,39144818,Permitted,1.38971E-05,1.389711404
55,Wisconsin,80,5771337,Permitted,1.38616E-05,1.386160607
23,Maine,18,1329328,Permitted,1.35407E-05,1.354067619
15,Hawaii,19,1431603,Permitted,1.32718E-05,1.327183584
51,Virginia,110,8382993,Restricted,1.31218E-05,1.312180506
39,Ohio,152,11613423,Local,1.30883E-05,1.308830308
17,Illinois,168,12859995,Local,1.30638E-05,1.306376869
50,Vermont,8,626042,Permitted,1.27787E-05,1.277869536
33,New Hampshire,17,1330608,Restricted,1.27761E-05,1.277611438
10,Delaware,12,945934,Permitted,1.26859E-05,1.268587449
53,Washington,83,7170351,Permitted,1.15754E-05,1.157544449
42,Pennsylvania,146,12802503,Restricted,1.1404E-05,1.140401998
49,Utah,34,2995919,Prohibited,1.13488E-05,1.134877145
24,Maryland,67,6006401,Local,1.11548E-05,1.115476639
9,Connecticut,40,3590886,Local,1.11393E-05,1.113931214
27,Minnesota,51,5489594,Permitted,9.2903E-06,0.929030453
34,New Jersey,82,8958013,Local,9.15382E-06,0.91538157
25,Massachusetts,53,6794422,Local,7.80052E-06,0.780051636
36,New York,139,19795791,Permitted,7.02169E-06,0.702169466
44,Rhode Island,5,1056298,Permitted,4.73351E-06,0.47335127
