id,State,Total
,,
1,Alabama,2191
2,Alaska,195
4,Arizona,2358
5,Arkansas,1157
6,California,8799
8,Colorado,1434
9,Connecticut,701
10,Delaware,287
11,District of Columbia,65
12,Florida,7625
13,Georgia,3511
15,Hawaii,251
16,Idaho,545
17,Illinois,2445
18,Indiana,1885
19,Iowa,867
20,Kansas,841
21,Kentucky,1894
22,Louisiana,1787
23,Maine,326
24,Maryland,1179
25,Massachusetts,817
26,Michigan,2498
27,Minnesota,882
28,Mississippi,1452
29,Missouri,2026
30,Montana,354
31,Nebraska,444
32,Nevada,807
33,New Hampshire,263
34,New Jersey,1419
35,New Mexico,971
36,New York,2376
37,North Carolina,3168
38,North Dakota,229
39,Ohio,2606
40,Oklahoma,1501
41,Oregon,1078
42,Pennsylvania,2663
44,Rhode Island,109
45,South Carolina,2199
46,South Dakota,229
47,Tennessee,2292
48,Texas,8970
49,Utah,721
50,Vermont,115
51,Virginia,1593
53,Washington,1260
54,West Virginia,552
55,Wisconsin,1290
56,Wyoming,269
9999,TOTAL,85496
