State,DUI,Fatalities,Population,Sunday.Sales, Fatality.Rate , DUI.Rate ,,,,,,,
Alabama,7863,247,4858979,Prohibited, 0.000051 , 0.008509 ,,,,,,,
Alaska,3163,24,738432,Permitted, 0.000066 , 0.008391 ,,,,,,,
Arizona,22367,272,6828065,Permitted, 0.000096 , 0.005386 ,,,,,,,
Arkansas,6919,149,2978204,Local, 0.000028 , 0.004685 ,,,,,,,
California,141458,914,39144818,Permitted, 0.000039 , 0.004330 ,,,,,,,
Colorado,25562,151,5456574,Permitted, 0.000033 , 0.004283 ,,,,,,,
Connecticut,8148,103,3590886,Local, 0.000033 , 0.004260 ,,,,,,,
Delaware,386,42,945934,Permitted, 0.000047 , 0.004097 ,,,,,,,
Florida,31783,797,20271272,Local, 0.000043 , 0.004028 ,,,,,,,
Georgia,19217,365,10214860,Local, 0.000021 , 0.003794 ,,,,,,,
Hawaii,5250,33,1431603,Permitted, 0.000023 , 0.003667 ,,Weighted Average,,,,,
Idaho,5844,70,1654930,Local, 0.000023 , 0.003614 ,,DUI ,Fatalities,Total,,duirate,fatality rate
Illinois,3659,307,12859995,Local, 0.000041 , 0.003581 ,,,,,,,
Indiana,14428,178,6619680,Prohibited, 0.000025 , 0.003567 ,,Prohibitied,,,,,
Iowa,9028,78,3123899,Permitted, 0.000074 , 0.003557 ,,197671,3246,76887111,,0.002570925,4.222E-05
Kansas,7186,84,2911641,Local, 0.000042 , 0.003531 ,,,,,,,#DIV/0!
Kentucky,17825,192,4425092,Local, 0.000038 , 0.003507 ,,Local,,,,,#DIV/0!
Louisiana,5598,253,4670724,Local, 0.000028 , 0.003485 ,,341440,4311,134054916,,0.002547016,3.216E-05
Maine,5756,52,1329328,Permitted, 0.000021 , 0.003435 ,,,,,,,#DIV/0!
Maryland,17100,160,6006401,Local, 0.000026 , 0.003425 ,,,,,,,#DIV/0!
Massachusetts,8258,96,6794422,Local, 0.000061 , 0.003323 ,,Permitted,,,,,#DIV/0!
Michigan,26845,268,9922576,Local, 0.000040 , 0.003276 ,,26845,2772,101602993,,0.000264215,2.728E-05
Minnesota,20830,115,5489594,Permitted, 0.000037 , 0.003197 ,,,,,,,#DIV/0!
Mississippi,6889,175,2992333,Prohibited, 0.000027 , 0.002950 ,,,,,,,#DIV/0!
Missouri,19449,224,6083672,Permitted, 0.000014 , 0.002942 ,,Restricted,,,,,#DIV/0!
Montana,3674,76,1032949,Prohibited, 0.000025 , 0.002890 ,,32288,316,8201572,,0.003936806,3.853E-05
Nebraska,5348,65,1896190,Local, 0.000027 , 0.002847 ,,,,,,,
Nevada,7612,96,2890845,Local, 0.000043 , 0.002838 ,,,,,,,
New Hampshire,4746,33,1330608,Restricted, 0.000034 , 0.002820 ,,,,,,,
New Jersey,22201,111,8958013,Local, 0.000027 , 0.002705 ,,Average ,,,,,
New Mexico,8542,98,2085109,Local, 0.000033 , 0.002633 ,,Fatalirty,dui,,,,
New York,28988,311,19795791,Permitted, 0.000012 , 0.002478 ,Prohib, 0.000036909 , 0.001947636 ,,,,
North Carolina,35967,411,10042802,Prohibited, 0.000029 , 0.002468 ,Local, 0.000040632 , 0.004405632 ,,,,
North Dakota,6351,50,756927,Local, 0.000039 , 0.002463 ,permitted, 0.000030412 , 0.002832412 ,,,,
Ohio,34254,313,11613423,Local, 0.000018 , 0.002453 ,restricted , 0.000040667 , 0.000630667 ,,,,
Oklahoma,11101,170,3911338,Prohibited, 0.000025 , 0.002443 ,,,,,,,
Oregon,9019,155,4028977,Permitted, 0.000048 , 0.002365 ,,,,,,,
Pennsylvania,44615,363,12802503,Restricted, 0.000050 , 0.002323 ,,DUI ,Fatalities,Total,,duirate,fatality rate
Rhode Island,2591,19,1056298,Permitted, 0.000058 , 0.002302 ,,,,,,,
South Carolina,16272,301,4896146,Prohibited, 0.000029 , 0.002269 ,,Prohibitied,,,,,
South Dakota,7305,44,858469,Local, 0.000038 , 0.002239 ,,88189,1268,73263687,,0.00120372,1.73073E-05
Tennessee,23150,251,6600299,Prohibited, 0.000027 , 0.002180 ,,,,,,,#DIV/0!
Texas,64971,1323,27469114,Prohibited, 0.000036 , 0.001881 ,,Local,,,,,#DIV/0!
Utah,8813,43,2995919,Prohibited, 0.000051 , 0.001618 ,,249995,3621,115359979,,0.002167086,3.13887E-05
Vermont,2144,16,626042,Permitted, 0.000039 , 0.001568 ,,,,,,,#DIV/0!
Virginia,20477,208,8382993,Restricted, 0.000016 , 0.001464 ,,,,,,,#DIV/0!
Washington,24627,147,7170351,Permitted, 0.000014 , 0.001215 ,,Permitted,,,,,#DIV/0!
West Virginia,4543,71,1844128,Prohibited, 0.000054 , 0.001199 ,,141458,2798,109606822,,0.001290595,2.55276E-05
Wisconsin,24588,189,5771337,Permitted, 0.000044 , 0.000408 ,,,,,,,#DIV/0!
Wyoming,3157,56,586107,Permitted, 0.000024 , 0.000285 ,,,,,,,#DIV/0!
,,,,,,,,Restricted,,,,,#DIV/0!
,,,,,,,,69838,604,22516104,,0.003101691,2.68252E-05
