GEO.id,GEO.id2,GEO.display-label,GOVTYPE.id,GOVTYPE.display-label,FINITEM.id,FINITEM.display-label,YEAR.id,AMOUNT,AMOUNT_CV
Geographic identifier code,Id2,Geographic area name,Type of Government,Meaning of Type of Government,Revenue and Expenditures for State and Local Governments ,Meaning of Revenue and Expenditures for State and Local Governments ,Year,Amount ,Coefficient of Variation for Amount (%)
0100000US,,United States,1,State and Local ,1,Total Revenue,2015,3418803448,0.15
0100000US,,United States,1,State and Local ,11,"General revenue, total",2015,2920124742,0.15
0100000US,,United States,1,State and Local ,111,"General revenue, intergovernmental, total",2015,657676745,0.06
0100000US,,United States,1,State and Local ,1112,"General revenue, intergovernmental from federal government",2015,657676745,0.06
0100000US,,United States,1,State and Local ,1113,"General revenue, intergovernmental from state governments",2015,N,N
0100000US,,United States,1,State and Local ,1114,"General revenue, intergovernmental from local governments",2015,N,N
0100000US,,United States,1,State and Local ,112,General revenue from own sources,2015,2262447997,0.19
0100000US,,United States,1,State and Local ,1121,"General revenue from taxes, total",2015,1567019904,0.26
0100000US,,United States,1,State and Local ,11211,General revenue from property taxes,2015,488045336,0.83
0100000US,,United States,1,State and Local ,11212,"General revenue from sales taxes and gross receipts, total",2015,544744162,0.1
0100000US,,United States,1,State and Local ,112121,"General revenue from sales taxes and gross receipts, general sales",2015,368189271,0.15
0100000US,,United States,1,State and Local ,112122,"General revenue from sales taxes and gross receipts, selective sales",2015,176554891,0.09
0100000US,,United States,1,State and Local ,1121221,"General revenue from sales taxes and gross receipts, selective sales, motor fuel",2015,43826034,0.02
0100000US,,United States,1,State and Local ,1121222,"General revenue from sales taxes and gross receipts, selective sales, alcoholic beverage",2015,7040644,0.08
0100000US,,United States,1,State and Local ,1121223,"General revenue from sales taxes and gross receipts, selective sales, tobacco products",2015,18167914,0.01
0100000US,,United States,1,State and Local ,1121224,"General revenue from sales taxes and gross receipts, selective sales, public utilities",2015,28117908,0.42
0100000US,,United States,1,State and Local ,1121229,"General revenue from sales taxes and gross receipts, selective sales, other selective sales",2015,79402391,0.13
0100000US,,United States,1,State and Local ,1121231,General revenue from individual income taxes,2015,367859567,0.05
0100000US,,United States,1,State and Local ,112124,General revenue from corporate income taxes,2015,57206854,0.03
0100000US,,United States,1,State and Local ,1121241,General revenue from motor vehicle licenses,2015,26417328,0.08
0100000US,,United States,1,State and Local ,112129,"Taxes, NEC",2015,82746657,0.24
0100000US,,United States,1,State and Local ,1122,General revenue from charges and miscellaneous general revenue,2015,695428093,0.16
0100000US,,United States,1,State and Local ,11221,"General revenue from current charges, total",2015,479131997,0.21
0100000US,,United States,1,State and Local ,112211,"General revenue from current charges, education",2015,123429998,0.05
0100000US,,United States,1,State and Local ,1122111,"General revenue from current charges, education, institutions of higher education",2015,107909079,0.02
0100000US,,United States,1,State and Local ,1122112,"General revenue from current charges, education, school lunch sales (gross)",2015,5612050,0.82
0100000US,,United States,1,State and Local ,112212,"General revenue from current charges, hospitals",2015,144819471,0.29
0100000US,,United States,1,State and Local ,112213,"General revenue from current charges, highways",2015,17250254,0.19
0100000US,,United States,1,State and Local ,112214,"General revenue from current charges, air transportation (airports)",2015,21950486,0.29
0100000US,,United States,1,State and Local ,112215,"General revenue from current charges, parking facilities",2015,3036480,2.72
0100000US,,United States,1,State and Local ,112216,"General revenue from current charges, sea and inland port facilities",2015,5102445,1.02
0100000US,,United States,1,State and Local ,112217,"General revenue from current charges, natural resources",2015,5133260,12.37
0100000US,,United States,1,State and Local ,112218,"General revenue from current charges, parks and recreation",2015,10754394,0.78
0100000US,,United States,1,State and Local ,112219,"General revenue from current charges, housing and community development",2015,6583836,1.62
0100000US,,United States,1,State and Local ,011221A,"General revenue from current charges, sewerage",2015,54206585,0.56
0100000US,,United States,1,State and Local ,011221B,"General revenue from current charges, solid waste management",2015,17148835,0.68
0100000US,,United States,1,State and Local ,011221Z,"General revenue from current charges, other charges",2015,69715953,0.77
0100000US,,United States,1,State and Local ,11222,"General revenue from miscellaneous general revenue, total",2015,216296096,0.24
0100000US,,United States,1,State and Local ,112221,"General revenue from miscellaneous general revenue, interest earnings",2015,48029619,0.26
0100000US,,United States,1,State and Local ,112222,"General revenue from miscellaneous general revenue, special assessments",2015,8134077,2.42
0100000US,,United States,1,State and Local ,112223,"General revenue from miscellaneous general revenue, sale of property",2015,3824119,3.2
0100000US,,United States,1,State and Local ,112229,"General revenue from miscellaneous general revenue, other general revenue",2015,156308281,0.29
0100000US,,United States,1,State and Local ,12,"Utility revenue, total",2015,166654023,0.33
0100000US,,United States,1,State and Local ,121,"Utility revenue, water supply",2015,61345704,0.54
0100000US,,United States,1,State and Local ,122,"Utility revenue, electric power",2015,81431349,0.53
0100000US,,United States,1,State and Local ,123,"Utility revenue, gas supply",2015,7489850,1.22
0100000US,,United States,1,State and Local ,124,"Utility revenue, transit",2015,16387120,0.26
0100000US,,United States,1,State and Local ,13,Liquor store revenue,2015,8972981,0.22
0100000US,,United States,1,State and Local ,14,"Insurance trust revenue, total",2015,323051702,0.83
0100000US,,United States,1,State and Local ,141,"Insurance trust revenue, unemployment compensation",2015,52450880,0
0100000US,,United States,1,State and Local ,142,"Insurance trust revenue, employee retirement",2015,247296130,1.09
0100000US,,United States,1,State and Local ,143,"Insurance trust revenue, workers'compensation",2015,15712648,0
0100000US,,United States,1,State and Local ,149,"Insurance trust revenue, other insurance trust revenue",2015,7592044,0
0100000US,,United States,1,State and Local ,2,Total expenditure,2015,3400879711,0.32
0100000US,,United States,1,State and Local ,21,Total expenditure by character and object:,2015,X,X
0100000US,,United States,1,State and Local ,211,Intergovernmental expenditure,2015,3408376,0
0100000US,,United States,1,State and Local ,212,"Direct expenditure, total",2015,3397471335,0.32
0100000US,,United States,1,State and Local ,2121,Direct expenditure from current operations,2015,2560752242,0.4
0100000US,,United States,1,State and Local ,2122,"Direct expenditure from capital outlay, total",2015,334212542,0.25
0100000US,,United States,1,State and Local ,21221,"Direct expenditure from capital outlay, construction",2015,266934797,0.3
0100000US,,United States,1,State and Local ,21222,Direct expenditure from capital outlay excluding construction,2015,67277745,0.41
0100000US,,United States,1,State and Local ,2123,Direct expenditure from assistance and subsidies,2015,56183420,0.06
0100000US,,United States,1,State and Local ,2124,Direct expenditure from interest on debt,2015,122190792,0.6
0100000US,,United States,1,State and Local ,2125,Direct expenditure from insurance benefits and repayments,2015,324132339,1.01
0100000US,,United States,1,State and Local ,2126,Direct expenditure exhibit: Salaries and wages,2015,899861975,0.07
0100000US,,United States,1,State and Local ,22,Direct expenditure by function:,2015,3397471335,0.32
0100000US,,United States,1,State and Local ,221,"Direct general expenditure, total",2015,2838366097,0.37
0100000US,,United States,1,State and Local ,2211,"Direct general expenditure, capital outlay",2015,280083477,0.29
0100000US,,United States,1,State and Local ,2212,Direct general expenditure excluding capital outlay,2015,2558282620,0.4
0100000US,,United States,1,State and Local ,2213,Direct general expenditure from education services:,2015,X,X
0100000US,,United States,1,State and Local ,22131,"Direct general expenditure from education, total",2015,937027332,1.09
0100000US,,United States,1,State and Local ,221311,"Direct general expenditure from education, capital outlay",2015,84994777,0.73
0100000US,,United States,1,State and Local ,22132,"Direct general expenditure from education, higher education, total",2015,273931616,0.04
0100000US,,United States,1,State and Local ,221321,"Direct general expenditure from education, higher education, capital outlay",2015,30820291,0.06
0100000US,,United States,1,State and Local ,22133,"Direct general expenditure from education, elementary & secondary, total",2015,610857320,1.67
0100000US,,United States,1,State and Local ,221331,"Direct general expenditure from education, elementary & secondary, capital outlay",2015,53334326,1.16
0100000US,,United States,1,State and Local ,22134,"Direct general expenditure from education, other education",2015,52238396,0
0100000US,,United States,1,State and Local ,22135,"Direct general expenditure from education, libraries",2015,11477379,1.29
0100000US,,United States,1,State and Local ,2214,Direct general expenditure from social services and income maintenance:,2015,X,X
0100000US,,United States,1,State and Local ,22141,"Direct general expenditure from social services and income maintenance, public welfare, total",2015,609597153,0.03
0100000US,,United States,1,State and Local ,221411,"Direct general expenditure from social services and income maintenance, public welfare, cash assistance payments",2015,22747876,0.15
0100000US,,United States,1,State and Local ,221412,"Direct general expenditure from social services and income maintenance, public welfare, vendor payments",2015,505140783,0.01
